dataset,perturbation,requested_severity,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference
clinc150,typo,0.1,7,0.8582222222222222,0.8793333333333333,0.02111111111111108,0.941721531333821,0.9595053346265762,0.017783803292755196
clinc150,typo,0.1,21,0.8653333333333333,0.8875555555555555,0.022222222222222254,0.9495245062179956,0.9684772065955384,0.01895270037754282
clinc150,typo,0.1,42,0.8673333333333333,0.8891111111111111,0.021777777777777785,0.9517190929041696,0.9701745877788556,0.018455494874686007
clinc150,typo,0.1,84,0.858,0.8793333333333333,0.021333333333333315,0.9414776883686904,0.9595053346265762,0.018027646257885777
clinc150,typo,0.1,123,0.8662222222222222,0.8873333333333333,0.02111111111111108,0.9504998780785174,0.96823472356935,0.017734845490832596
clinc150,typo,0.1,256,0.8591111111111112,0.8848888888888888,0.025777777777777677,0.9426969031943429,0.9655674102812803,0.022870507086937497
clinc150,typo,0.1,512,0.8655555555555555,0.8851111111111111,0.019555555555555548,0.949768349183126,0.9658098933074684,0.016041544124342333
clinc150,typo,0.1,1024,0.8637777777777778,0.8833333333333333,0.019555555555555548,0.9478176054620824,0.9638700290979632,0.016052423635880775
clinc150,typo,0.1,2026,0.8668888888888889,0.888,0.02111111111111108,0.9512314069739088,0.9689621726479148,0.017730765674006
clinc150,char_delete,0.1,1,0.8731111111111111,0.8955555555555555,0.02244444444444449,0.9580590099975616,0.9772065955383124,0.0191475855407508
clinc150,char_delete,0.1,7,0.8755555555555555,0.9037777777777778,0.02822222222222226,0.9607412826139966,0.9861784675072746,0.025437184893277953
clinc150,char_delete,0.1,21,0.8724444444444445,0.9031111111111112,0.03066666666666673,0.9573274811021704,0.98545101842871,0.028123537326539605
clinc150,char_delete,0.1,42,0.8762222222222222,0.9022222222222224,0.026000000000000134,0.961472811509388,0.9844810863239574,0.02300827481456935
clinc150,char_delete,0.1,84,0.8793333333333333,0.906,0.026666666666666727,0.9648866130212144,0.9886032977691562,0.023716684747941863
clinc150,char_delete,0.1,123,0.8728888888888889,0.9015555555555556,0.028666666666666618,0.9578151670324312,0.9837536372453928,0.025938470212961584
clinc150,char_delete,0.1,256,0.8757777777777778,0.9044444444444444,0.028666666666666618,0.9609851255791272,0.9869059165858391,0.025920791006711963
clinc150,char_delete,0.1,512,0.8737777777777778,0.9048888888888889,0.03111111111111109,0.958790538892953,0.9873908826382154,0.028600343745262435
clinc150,char_delete,0.1,1024,0.8768888888888889,0.9024444444444444,0.025555555555555443,0.9622043404047794,0.9847235693501456,0.022519228945366176
clinc150,char_delete,0.1,2026,0.8764444444444445,0.9033333333333332,0.02688888888888874,0.9617166544745184,0.9856935014548982,0.02397684698037983
clinc150,word_delete,0.1,1,0.8633333333333333,0.862,-0.0013333333333332975,0.9473299195318214,0.9405916585838991,-0.006738260947922292
